diagnosis,accepted_answers,clue_1,clue_2,clue_3,clue_4,clue_5,clue_6,explanation,high_yield
Acute appendicitis,appendicitis; inflamed appendix,"A 19-year-old initially complains of vague periumbilical discomfort and loss of appetite, thinking it is a stomach bug.",Several hours later the pain localizes to the right lower abdomen and walking becomes uncomfortable.,Nausea follows the pain rather than preceding it; low-grade fever develops.,Exam shows focal RLQ tenderness with pain on cough and possible psoas or obturator irritation.,"CBC shows leukocytosis with left shift, and pregnancy/urinary causes are excluded when relevant.",CT or ultrasound would show an inflamed obstructed appendix before perforation.,"Appendiceal lumen obstruction causes distension and inflammation, classically producing periumbilical pain that migrates to the RLQ with anorexia and leukocytosis.",Periumbilical to RLQ migration; anorexia; pain before vomiting; McBurney/Rovsing/psoas/obturator signs; CT gold standard in nonpregnant adults.
Crohn disease,Crohn; Crohn's disease; regional enteritis; transmural IBD,"A 23-year-old has months of intermittent crampy abdominal pain, fatigue, and loose stools that are usually not frankly bloody.",He has lost weight and notices pain in the right lower abdomen after meals.,Exam reveals aphthous ulcers and a tender fullness in the RLQ; perianal skin tags are present.,"Labs show elevated CRP, low albumin, and anemia that may include B12 deficiency.",Enterography shows separated inflamed segments with thickened bowel wall and a possible fistulous tract.,"Colonoscopy would show skip lesions and transmural granulomatous inflammation, often involving terminal ileum.","Crohn disease is transmural, skip-lesion inflammatory bowel disease that commonly involves the terminal ileum and causes fistulas, strictures, perianal disease, and nonbloody diarrhea.",Transmural; skip lesions; terminal ileum/RLQ; fistulas/strictures/perianal disease; ASCA; smoking worsens; B12 deficiency possible.
Hemolytic anemia,hemolysis; hemolytic jaundice; prehepatic jaundice,"A 28-year-old presents with fatigue, mild jaundice, and dark urine after a recent infection.","He has pallor and splenomegaly but no RUQ pain, pruritus, or stigmata of chronic liver disease.",Bilirubin is predominantly indirect and AST/ALT are not markedly elevated.,"LDH is high, haptoglobin is low, and the reticulocyte count is increased.",Urine lacks conjugated bilirubin despite increased urobilinogen.,Peripheral smear or Coombs testing helps identify the hemolytic mechanism.,"Hemolysis overwhelms hepatic conjugation capacity, causing unconjugated hyperbilirubinemia with elevated LDH, low haptoglobin, and reticulocytosis.",Indirect bilirubin; high LDH; low haptoglobin; high reticulocytes; no bilirubinuria; smear and Coombs help identify cause.
Gilbert syndrome,Gilbert; Gilbert disease; benign unconjugated hyperbilirubinemia,A healthy 21-year-old notices mild yellowing of the eyes during final exams after skipping meals.,"He feels well otherwise, with no abdominal pain, pruritus, dark urine, pale stools, or medication trigger.","CBC, reticulocyte count, LDH, haptoglobin, AST, ALT, and ALP are normal.","Only unconjugated bilirubin is mildly elevated, usually below 3 mg/dL.",The abnormality resolves when stress and fasting end.,A benign reduction in UGT1A1 activity explains the intermittent isolated finding.,"Gilbert syndrome is benign reduced bilirubin conjugation causing intermittent isolated unconjugated hyperbilirubinemia triggered by fasting, illness, stress, or exertion.",Mild isolated indirect bilirubin; normal CBC and LFTs; fasting/stress/illness trigger; benign UGT1A1 deficiency.
Alcoholic hepatitis,alcohol-associated hepatitis; alcoholic steatohepatitis,"A 46-year-old with years of heavy alcohol intake presents with jaundice, anorexia, fever, and tender hepatomegaly.","He looks chronically malnourished and has spider angiomas, but the acute complaint is worsening yellowing over weeks.","AST is higher than ALT in a ratio above 2, yet AST is under the very high levels typical of acute viral hepatitis.","GGT, INR, and bilirubin are elevated; platelets may be low.",Ultrasound shows fatty hepatomegaly and no obstructing ductal dilation.,Alcohol-related hepatocyte injury with neutrophilic inflammation explains the pattern.,"Alcoholic hepatitis causes acute hepatocellular injury from alcohol with jaundice, tender hepatomegaly, AST:ALT >2:1, elevated GGT, and AST usually under 400.",Heavy alcohol use; jaundice; tender hepatomegaly; AST:ALT >2:1; AST rarely >400; elevated GGT/INR; Maddrey DF for severity.
Choledocholithiasis,common bile duct stone; biliary obstruction from gallstone; obstructive choledocholithiasis,A 45-year-old with prior biliary colic now has episodic RUQ pain plus dark urine and pale stools.,"She is uncomfortable but not frankly septic, and fever is absent or minimal.",Labs show conjugated hyperbilirubinemia with ALP and GGT out of proportion to transaminases.,"Ultrasound shows dilation of the common bile duct, while gallbladder wall inflammation is not the main finding.",MRCP or EUS would locate the ductal stone; ERCP could remove it.,A gallstone lodged in the common bile duct is obstructing bile flow.,"Choledocholithiasis is a gallstone obstructing the common bile duct, producing conjugated hyperbilirubinemia, cholestatic enzymes, dark urine, pale stools, and ductal dilation.",RUQ pain + obstructive labs; direct bilirubin and ALP/GGT high; dilated CBD; MRCP/EUS visualizes; ERCP treats.
Pancreatic head cancer,pancreatic head adenocarcinoma; pancreatic head malignancy; periampullary pancreatic cancer,"A 68-year-old presents to clinic for itching, weight loss, and yellowing of the eyes without much abdominal pain.","He reports darker urine, pale stools, early satiety, and a new diagnosis of diabetes.",Exam finds cachexia and a distended nontender gallbladder.,"Labs show direct hyperbilirubinemia and elevated ALP, with only modest transaminase changes.",CT shows dilation of both the pancreatic duct and common bile duct.,A mass at the pancreatic head or periampullary region is compressing the distal biliary tree.,"A pancreatic head mass compresses the distal bile duct, causing painless progressive obstructive jaundice, weight loss, Courvoisier sign, and the double-duct sign.",Painless progressive jaundice; weight loss; Courvoisier sign; double duct sign; smoking/chronic pancreatitis/diabetes risk; CA 19-9 not diagnostic alone.
Cirrhotic ascites,ascites due to cirrhosis; portal hypertensive ascites; decompensated cirrhosis,A 57-year-old with chronic liver disease reports increasing abdominal girth and ankle swelling over months.,He has fatigue and muscle wasting despite weight gain from fluid.,"Exam shows shifting dullness, spider angiomas, palmar erythema, splenomegaly, and possible gynecomastia.","Albumin is low, INR is elevated, and platelets are decreased.",Diagnostic paracentesis shows SAAG at least 1.1 with low total protein and PMN count below 250.,Portal hypertension plus hypoalbuminemia and renal sodium retention is driving the ascites.,"Cirrhosis causes ascites through portal hypertension, hypoalbuminemia, and renal sodium retention, producing high-SAAG, low-protein ascitic fluid.",SAAG >=1.1 indicates portal hypertension; cirrhotic ascites has low protein; always tap new/worsening ascites to exclude SBP.
Spontaneous bacterial peritonitis,SBP; infected cirrhotic ascites; spontaneous peritonitis,A cirrhotic patient with known ascites becomes more sleepy and says his abdomen feels vaguely sore.,"He has fever and mild diffuse tenderness, but the exam is less dramatic than a perforated viscus.",There is no clear surgical abdomen or polymicrobial source on initial evaluation.,Paracentesis shows ascitic PMN count above 250 cells/mm3.,Culture may grow a single gut organism such as E. coli or Klebsiella.,Low-protein ascitic fluid permits bacterial translocation and infection without an obvious perforation.,"SBP is monomicrobial infection of cirrhotic ascites due to bacterial translocation, diagnosed by ascitic PMNs over 250 cells/mm3.",Cirrhotic ascites + fever/pain/encephalopathy; PMN >250 = treat; low-protein ascites risk; distinguish from secondary peritonitis.
Diverticular bleeding,diverticular hemorrhage; bleeding colonic diverticulosis,"A 76-year-old suddenly passes a large amount of maroon blood while watching television, with no preceding abdominal pain.","He takes aspirin and has chronic constipation, but he denies fever, tenesmus, or weeks of bowel habit change.",The abdomen is soft and nontender even though he becomes lightheaded from blood loss.,Hemoglobin falls quickly; BUN is not the dominant clue unless bleeding is massive or upper source is considered.,Colonoscopy after preparation may identify a bleeding vessel inside a diverticulum.,Rupture of a vasa recta associated with diverticula causes painless arterial lower GI bleeding.,"Diverticular bleeding is arterial rupture of vasa recta at diverticula, causing sudden painless large-volume hematochezia in older adults.",Most common significant adult LGIB; painless massive hematochezia; soft nontender abdomen; colonoscopy/CTA/tagged RBC depending stability.
Colorectal cancer,colon cancer; rectal cancer; colorectal adenocarcinoma; CRC,"A 62-year-old reports months of fatigue and subtle change in bowel routine, alternating constipation with looser stools.",He has unintentionally lost weight and occasionally sees blood mixed with stool rather than just on paper.,Labs show iron deficiency anemia; family history includes colon cancer in a first-degree relative.,"Rectal exam or colonoscopy may identify a mass, while CEA is for monitoring rather than screening.",CT or contrast imaging can show an annular narrowing if left-sided.,A mucosal adenocarcinoma explains chronic occult bleeding and progressive luminal narrowing.,"Colorectal cancer causes occult or visible bleeding, iron deficiency anemia, weight loss, and progressive changes in bowel habits or obstruction.",Age >50; weight loss; change in bowel habits; iron deficiency anemia; blood mixed with stool; apple-core lesion; colonoscopy with biopsy.
Ischemic colitis,colonic ischemia; ischemic colopathy,A 79-year-old with vascular disease develops sudden crampy left-sided abdominal pain after a hypotensive episode.,"Several hours later she passes bloody stool, so the pain clearly comes before the bleeding.",Exam shows left lower quadrant tenderness but not the soft painless abdomen of diverticular bleeding.,Labs show leukocytosis; lactate rises if injury is severe or transmural.,CT shows segmental colonic wall thickening in a watershed area with thumbprinting.,Transient low flow to the colon causes mucosal ischemia and hematochezia.,"Ischemic colitis is hypoperfusion of vulnerable watershed colon, causing crampy left-sided pain followed by hematochezia and segmental thumbprinting.",Pain before bleeding; elderly vascular patient; watershed areas; thumbprinting; segmental mucosal injury; lactate/peritonitis suggests severe ischemia.
Ulcerative colitis,UC; ulcerative proctocolitis; mucosal inflammatory bowel disease,A 26-year-old has recurrent episodes of bloody diarrhea with urgency and a feeling of incomplete evacuation.,"Symptoms improve and relapse over months, with lower abdominal cramping rather than isolated perianal disease.",Exam may show fever during flares and extraintestinal findings such as episcleritis or erythema nodosum.,Inflammatory markers and fecal calprotectin are elevated; pANCA may be positive.,Colonoscopy shows continuous friable inflammation beginning at the rectum with crypt abscesses.,"The inflammation is mucosal, colonic, and continuous, explaining bleeding and tenesmus.","Ulcerative colitis is continuous mucosal inflammation beginning in the rectum, causing bloody diarrhea, urgency, tenesmus, crypt abscesses, and PSC association.",Bloody diarrhea; rectum always involved; continuous disease; mucosal/submucosal only; pANCA; PSC; no fistulas/skip lesions.
Internal hemorrhoids,hemorrhoids; bleeding internal hemorrhoids; painless hemorrhoidal bleeding,A 36-year-old notices bright red blood on toilet paper and a few drops in the bowl after straining.,"He denies weight loss, fever, diarrhea, nocturnal symptoms, or blood mixed throughout the stool.","Pain is minimal, though he feels intermittent prolapse after bowel movements.","External inspection is unrevealing, but anoscopy shows engorged cushions above the dentate line.",CBC is normal and abdominal exam is benign.,Dilated internal hemorrhoidal venous cushions bleed painlessly because they are above the pain-sensitive anoderm.,"Internal hemorrhoids are dilated submucosal vascular cushions above the dentate line, causing painless bright red blood on paper or coating stool.",Blood on toilet paper/coating stool; painless if internal; constipation/straining/pregnancy; anoscopy; do not assume in older patients without workup.
Anal fissure,posterior midline fissure; painful anal fissure,A 31-year-old avoids bowel movements because each one causes sharp tearing pain that lasts afterward.,He sees a small amount of bright red blood on the paper after passing hard stool.,The bleeding is not mixed with stool and there is no systemic illness.,Gentle inspection reveals a linear posterior midline tear with a small sentinel tag.,Pain limits digital rectal exam; anoscopy may be deferred until symptoms improve.,A split in the anoderm below the dentate line explains severe defecation pain.,"An anal fissure is a tear in the anoderm, usually posterior midline, producing severe pain with defecation and small bright red bleeding.",Severe defecation pain; posterior midline tear; small BRBPR on paper; constipation; off-midline suggests Crohn/TB/syphilis.
Small bowel obstruction,SBO; adhesive small bowel obstruction; mechanical small bowel obstruction,A 64-year-old with prior abdominal surgery develops waves of crampy central abdominal pain and repeated vomiting.,"He has stopped passing flatus, and the abdomen becomes distended and tympanitic.",Vomitus is bilious rather than feculent early in the course.,"Exam may reveal high-pitched bowel sounds initially, later quieter if severe.",CT shows dilated small-bowel loops with a transition point and little colonic gas.,Adhesions from earlier surgery are the most likely mechanical cause.,"SBO is mechanical blockage of small bowel, most often adhesions after surgery, producing colicky pain, bilious vomiting, distension, obstipation, and air-fluid levels.",Prior surgery/adhesions; colicky pain; bilious vomiting; obstipation; dilated small bowel + transition point; lactate/peritonitis = strangulation.
Large bowel obstruction,LBO; colonic obstruction; obstructing colon cancer,"A 72-year-old develops progressive abdominal distension and inability to pass stool or gas, with vomiting only late.",The pain is lower abdominal and crampy rather than early bilious vomiting.,Exam shows a massively tympanitic abdomen and possible rectal mass or occult blood.,Abdominal imaging shows colonic dilation proximal to a distal blockage with collapsed distal colon.,Cecal diameter becomes important because perforation risk rises as it approaches or exceeds 12 cm.,"The obstruction is in the colon, commonly from cancer, volvulus, or diverticular stricture.","LBO causes distal colonic blockage with massive distension, obstipation, late vomiting, and a transition point, commonly from colorectal cancer.",Massive distension; obstipation; late feculent vomiting; CRC/volvulus/diverticular stricture; cecum >12 cm risks perforation.
Sigmoid volvulus,adult sigmoid volvulus; sigmoid colon volvulus,An elderly nursing-home resident with chronic constipation develops dramatic abdominal distension and obstipation.,"Pain is crampy and lower abdominal, and vomiting is a late feature.",He has a tympanitic abdomen but may initially lack peritoneal signs.,Plain film shows a massively dilated loop arising from the pelvis with a bent inner wall pattern.,CT or contrast study confirms torsion of the sigmoid colon.,Endoscopic detorsion is attempted if there is no perforation or ischemia.,"Sigmoid volvulus is axial twisting of the sigmoid colon causing closed-loop large bowel obstruction, classically in elderly institutionalized constipated patients.",Elderly/institutionalized; chronic constipation; massive distension + obstipation; coffee bean to RUQ; endoscopic detorsion unless ischemia/perforation.
Cecal volvulus,cecal volvulus; mobile cecum volvulus,"A 38-year-old with prior abdominal surgery develops sudden colicky pain, distension, and nausea.","Unlike sigmoid volvulus, he is younger and the abnormal loop is not arising from the pelvis.",Exam shows tympany with right-sided or diffuse tenderness.,"Imaging shows a dilated cecum displaced toward the left upper abdomen, sometimes kidney-bean shaped.","There is risk of closed-loop obstruction and ischemia, so endoscopic decompression is less reliable.",A mobile cecum has twisted on its mesentery.,"Cecal volvulus is twisting of a mobile cecum, causing closed-loop obstruction in a younger patient, often with kidney-bean/comma sign displaced to the LUQ.",Younger patient; mobile cecum/prior surgery/pregnancy; kidney bean in LUQ; requires surgery rather than endoscopic detorsion.
Celiac disease,celiac sprue; gluten-sensitive enteropathy; gluten enteropathy,"A 29-year-old reports years of bloating, fatigue, and bulky foul-smelling stools that float, but no visible blood.",She has iron deficiency despite adequate intake and intermittent aphthous ulcers.,"Exam may show pallor, cheilosis, or a pruritic vesicular rash on extensor surfaces.","Anti-tTG IgA is positive, with total IgA checked to avoid a false negative.","Duodenal biopsy shows villous atrophy, crypt hyperplasia, and increased intraepithelial lymphocytes.",Gluten-triggered immune injury to small bowel mucosa causes malabsorption.,"Celiac disease is immune reaction to gluten causing small-bowel villous atrophy, malabsorption, steatorrhea, iron/folate deficiency, and dermatitis herpetiformis.",Steatorrhea; iron/folate deficiency; dermatitis herpetiformis; anti-tTG IgA + total IgA; duodenal biopsy confirms; gluten-free diet.
Irritable bowel syndrome,IBS; irritable bowel syndrome diarrhea predominant; functional bowel disorder,A 33-year-old has recurrent crampy abdominal pain with alternating constipation and loose stools for years.,Pain often improves after defecation and worsens during stressful weeks.,"She has no weight loss, fever, GI bleeding, anemia, nocturnal diarrhea, or abnormal exam.","CBC, CRP, TSH, celiac serology, and stool studies are unrevealing.",Symptoms meet a chronic pattern linked to stool frequency/form rather than structural disease.,A disorder of gut-brain interaction and visceral hypersensitivity explains the presentation.,"IBS is a disorder of gut-brain interaction with chronic recurrent abdominal pain related to defecation and changes in stool frequency/form, without inflammatory or structural disease.",Pain relieved/related to defecation; no nocturnal symptoms; normal labs; no blood/weight loss/anemia; Rome IV; diagnosis after excluding red flags.
Clostridioides difficile colitis,C difficile; C diff colitis; pseudomembranous colitis,A 69-year-old develops frequent watery diarrhea a week after discharge for pneumonia treated with broad-spectrum antibiotics.,He has lower abdominal cramping and fever but no travel or undercooked food exposure.,White count is markedly elevated and creatinine is above baseline.,Stool testing detects toxigenic C. difficile; colonoscopy is usually unnecessary.,CT may show colonic wall thickening or accordion sign in severe cases.,Antibiotic disruption of normal flora allowed toxin-mediated pseudomembranous colitis.,"C. difficile colitis follows disruption of normal flora after antibiotics or healthcare exposure, producing watery diarrhea, leukocytosis, and pseudomembranous colitis.","Recent antibiotics/hospitalization; watery diarrhea; leukocytosis; pseudomembranes; PCR sensitive, toxin EIA specific; oral vancomycin/fidaxomicin."
Hirschsprung disease,congenital aganglionic megacolon; Hirschsprung,A newborn with Down syndrome has abdominal distension and poor feeding after delayed passage of meconium.,Rectal exam reveals an empty vault despite a distended abdomen.,Withdrawal of the finger produces a rush of stool and gas.,Contrast enema shows a narrow distal segment with proximal dilation.,Rectal suction biopsy lacks ganglion cells and shows hypertrophied nerve trunks.,Failed neural crest migration leaves an aganglionic segment that cannot relax.,Hirschsprung disease is failure of neural crest migration causing distal aganglionosis and functional obstruction with delayed meconium passage.,Failure to pass meconium >48h; empty rectum; explosive stool after exam; Down/RET; transition zone; rectal suction biopsy confirms.
Meconium ileus due to cystic fibrosis,meconium ileus; cystic fibrosis meconium ileus; neonatal CF obstruction,A term neonate develops abdominal distension and bilious vomiting with failure to pass meconium soon after birth.,Exam reveals doughy loops of bowel rather than an empty rectum with explosive decompression.,Family history includes recurrent lung disease and poor weight gain in a sibling.,Abdominal x-ray shows a ground-glass or soap-bubble appearance in the right lower quadrant with few air-fluid levels.,Contrast enema demonstrates a microcolon from unused distal bowel.,Thick inspissated meconium from cystic fibrosis-related pancreatic insufficiency obstructs the terminal ileum.,Meconium ileus is neonatal terminal ileal obstruction from thick meconium due to cystic fibrosis and exocrine pancreatic insufficiency.,Failure to pass meconium; bilious vomiting; soap-bubble RLQ; microcolon; sweat chloride positive; meconium ileus = CF until proven otherwise.
Pyloric stenosis,hypertrophic pyloric stenosis; infantile pyloric stenosis,A 4-week-old firstborn boy has progressively forceful vomiting after feeds and wants to feed again immediately afterward.,"The emesis is not bilious, which localizes the obstruction proximal to the ampulla.",He is dehydrated with weight loss and visible left-to-right gastric peristalsis after feeding.,"Labs show hypochloremic, hypokalemic metabolic alkalosis with possible paradoxical aciduria.",Ultrasound shows thickened pyloric muscle and elongated pyloric channel.,Hypertrophy of the pylorus creates gastric outlet obstruction that requires electrolyte correction before pyloromyotomy.,"Hypertrophic pyloric stenosis causes gastric outlet obstruction in young infants, producing nonbilious projectile vomiting, hunger after emesis, olive mass, and hypochloremic metabolic alkalosis.",2-6 weeks; firstborn male; nonbilious projectile vomiting; hungry after; olive; hypochloremic hypokalemic metabolic alkalosis; ultrasound diagnosis.
Intussusception,ileocolic intussusception; bowel telescoping,"A 10-month-old has sudden episodes of crying and drawing up the legs, then appears nearly normal between attacks.",Vomiting develops and the parent later notices stool mixed with mucus and blood.,Exam may reveal a sausage-shaped mass in the right upper abdomen and relative emptiness in the RLQ.,Ultrasound shows a target or doughnut appearance.,Air or contrast enema both diagnoses and often reduces the lesion if no perforation.,"The bowel has telescoped into an adjacent segment, usually ileocolic.","Intussusception is telescoping of proximal bowel into distal bowel, usually ileocolic, producing episodic colicky pain, currant jelly stool, target sign, and a reducible obstruction.",Episodic pain with knees to chest; well intervals; currant jelly late; sausage mass; target sign; air/contrast enema treats.
Malrotation with midgut volvulus,midgut volvulus; malrotation volvulus; neonatal volvulus,A neonate suddenly develops green vomiting and increasing abdominal distension in the first weeks of life.,"The baby initially had nonspecific feeding intolerance, but bilious emesis makes this a surgical emergency.",Exam progresses from mild distension to tenderness and hemodynamic instability if ischemia develops.,Labs may show metabolic acidosis and rising lactate when bowel perfusion is threatened.,Upper GI series shows the duodenum failing to cross midline with a corkscrew configuration.,A narrow mesenteric base permits twisting of the midgut around the SMA.,"Malrotation predisposes the midgut to volvulus around the SMA, causing bilious vomiting in neonates and rapid intestinal ischemia.",Bilious vomiting in neonate = emergency; corkscrew upper GI; abnormal DJ junction; lactate/acidosis ischemia; Ladd procedure.
Meckel diverticulum,Meckel's diverticulum; vitelline duct remnant; omphalomesenteric duct remnant,"A 20-month-old is brought in after painless dark red rectal bleeding, with otherwise normal appetite and no fever.","The abdomen is soft, and there is no tenesmus, fissure pain, or diarrheal illness.","Hemoglobin is low from bleeding, but inflammatory markers are not the main issue.",Technetium-99m pertechnetate scan shows ectopic gastric mucosa in an ileal outpouching.,The lesion may also act as a lead point for obstruction or intussusception.,A persistent vitelline duct remnant with acid-secreting tissue ulcerates adjacent ileum.,"Meckel diverticulum is a vitelline duct remnant that may contain ectopic gastric mucosa, causing painless rectal bleeding in young children.",Painless rectal bleeding child <2; rule of 2s; ectopic gastric mucosa; technetium-99m scan; true diverticulum.
